Year,Releases,Total_Sales,Avg_Sales
1990.0,4,31.99,7.9975
1991.0,2,8.95,4.475
1992.0,7,45.33,6.475714285714285
1993.0,2,13.540000000000001,6.7700000000000005
1994.0,6,28.5,4.75
1995.0,8,29.98,3.7475
1996.0,12,94.76,7.896666666666667
1997.0,11,65.87,5.988181818181818
1998.0,13,73.97,5.6899999999999995
1999.0,17,105.39,6.199411764705882
2000.0,14,56.5,4.035714285714286
2001.0,24,125.81,5.242083333333333
2002.0,24,118.61,4.942083333333334
2003.0,14,61.1,4.364285714285715
2004.0,16,112.9,7.05625
2005.0,22,168.35,7.652272727272727
2006.0,22,241.66,10.984545454545454
2007.0,39,217.42,5.574871794871795
2008.0,31,187.45,6.046774193548386
2009.0,33,242.44,7.346666666666667
2010.0,31,209.67,6.763548387096773
2011.0,26,168.16,6.467692307692308
2012.0,22,136.71,6.21409090909091
2013.0,23,150.63,6.549130434782609
2014.0,28,141.42,5.050714285714285
2015.0,21,102.44,4.878095238095238
2016.0,3,12.58,4.193333333333333
