Name,Platform,Year,Sales_M
"Halo: Reach",X360,2010,9.88
"Mario Kart 64",N64,1996,9.87
"New Super Mario Bros. 2",3DS,2012,9.82
"Halo 4",X360,2012,9.76
"Final Fantasy VII",PS,1997,9.72
"Call of Duty: Ghosts",PS3,2013,9.59
"Just Dance 2",Wii,2010,9.52
"Gran Turismo 2",PS,1999,9.49
"Call of Duty 4: Modern Warfare",X360,2007,9.32
"Donkey Kong Country",SNES,1994,9.3
Minecraft,X360,2013,9.2
"Animal Crossing: New Leaf",3DS,2012,9.09
"Mario Party DS",DS,2007,9.02
"Wii Sports",Wii,2006,82.74
"The Elder Scrolls V: Skyrim",X360,2011,8.84
"Super Mario Kart",SNES,1992,8.76
"FIFA 16",PS4,2015,8.49
"Wii Party",Wii,2010,8.49
"Halo 2",XB,2004,8.49
"Mario Party 8",Wii,2007,8.42
